id,scheduled_date,platform,type,theme,body,link,hashtags,status
Q01,2026-07-06,X,article_intro,AI校務改善,"通知表の所見、白紙から書き始めると時間がかかりますよね。AIは「叩き台づくり」に向いています。子どもの様子はこちらが把握しているので、AIには文の型と語彙を手伝ってもらう。所見をAIで下書きする手順をまとめました。",https://edu-ai-platform-delta.vercel.app/articles/chatgpt-tsuchihyo-shoken,#教員のためのChatGPT #通知表,draft
Q02,2026-07-07,X,article_intro,特別支援教育,"視覚支援は「今日は何をするか」が見えるだけで、子どもの安心がかなり変わります。凝ったものでなくて大丈夫。まず1日の流れを絵カードや文字で並べるところから。見通し支援・視覚支援の始め方を記事にしました。",https://edu-ai-platform-delta.vercel.app/articles/special-needs-visual-schedule-support,#特別支援教育 #視覚支援,draft
Q03,2026-07-08,X,tip,ICT活用,"GIGA端末が授業で止まると、そこで空気が切れてしまいます。よくある困りごと（ログイン・音・接続）は、事前の1手で防げるものが多いです。Q&A形式で対処をまとめました。焦らず1つずつで大丈夫です。",https://edu-ai-platform-delta.vercel.app/articles/giga-school-device-troubleshooting,#GIGAスクール #ICT活用,draft
Q04,2026-07-09,X,article_intro,教材・支援ツール,"無料のICT教材は助かりますが、「安全か」は別で確認したいところです。誰が運営し、データはどう扱われるか。使う前に見る項目をチェックリストにしました。判断材料として使ってください。",https://edu-ai-platform-delta.vercel.app/articles/free-ict-tools-safety-checklist,#ICT教材 #情報セキュリティ,draft
Q05,2026-07-10,X,funnel,AI校務改善,"「学校で生成AIを使う前に確認したいチェックリスト」を無料配布しています。個人情報の扱いや校内ルールなど、最初に押さえたい点を1枚に。導入前の確認にどうぞ。関連記事も置いています。",https://edu-ai-platform-delta.vercel.app/articles/school-generative-ai-privacy-security,#生成AI #学校,draft
Q06,2026-07-11,X,tip,研修・セミナー,"校内研修、外部講師を呼ばなくても始められます。まず「困っている業務を1つ」持ち寄る形が入りやすいです。生成AIの校内研修を無理なく進める手順をまとめました。担当になった方の下準備に。",https://edu-ai-platform-delta.vercel.app/articles/generative-ai-school-training-guide,#教員研修 #生成AI,draft
Q07,2026-07-13,X,article_intro,AI校務改善,"学級通信、毎回ゼロから書くと負担が大きいですよね。行事の要点を渡して構成を手伝ってもらうと、時短しつつ自分の言葉に直せます。AIで学級通信を時短する使い方を記事にしました。",https://edu-ai-platform-delta.vercel.app/articles/ai-class-newsletter-prompt,#学級通信 #校務改善,draft
Q08,2026-07-14,X,article_intro,特別支援教育,"合理的配慮は「やったこと」を記録に残しておくと、引き継ぎや保護者との共有がスムーズになります。記録の粒度や書き方の例をまとめました。あとから見返せる形にしておくのがおすすめです。",https://edu-ai-platform-delta.vercel.app/articles/reasonable-accommodation-school-record,#特別支援教育 #合理的配慮,draft
Q09,2026-07-15,X,tip,ICT活用,"Googleフォーム、アンケートだけでなく小テストや欠席連絡にも使えます。集計が自動になるだけで校務の負担がかなり減ります。学校での活用パターンをまとめました。まず1つ試すところから。",https://edu-ai-platform-delta.vercel.app/articles/google-forms-school-use-guide,#Googleフォーム #校務改善,draft
Q10,2026-07-16,X,article_intro,助成金・補助金,"助成金・補助金は「どこを見れば探せるか」が分かると動きやすくなります。募集の探し方と読み方の手順をまとめました。年度途中でも公募はあります。まず情報源を1つ押さえるところから。",https://edu-ai-platform-delta.vercel.app/articles/education-grant-search-guide,#助成金 #教育,draft
Q11,2026-07-17,X,article_intro,教材・支援ツール,"教育AIサービスを試す前に、確認しておきたい点があります。無料か・データの扱い・校内ルールとの整合など。使う前チェックリストにまとめました。導入の可否を落ち着いて判断するために。",https://edu-ai-platform-delta.vercel.app/articles/education-ai-service-checklist-before-use,#教育AI #チェックリスト,draft
Q12,2026-07-18,X,tip,特別支援教育,"行動記録は「気づいたときにすぐ」だと続きます。長文でなくて構いません。いつ・何が・どうだったかを短く。記録の取り方と負担を減らす工夫をまとめました。支援の共有材料として役立ちます。",https://edu-ai-platform-delta.vercel.app/articles/special-needs-behavior-record-guide,#特別支援教育 #行動記録,draft
Q13,2026-07-20,X,article_intro,AI校務改善,"ChatGPTを校務で使ってみたいけれど、何から触ればいいか分からない方へ。まず「文の下書き」「要点整理」あたりが入りやすいです。教員向けの入門手順をまとめました。無理のない範囲で1つずつ。",https://edu-ai-platform-delta.vercel.app/articles/chatgpt-teacher-beginner-guide,#教員のためのChatGPT #校務改善,draft
Q14,2026-07-21,X,article_intro,ICT活用,"「教育DXって結局なに？」という段階の方へ。端末を増やすことが目的ではなく、子どもを見る時間を取り戻す道具、という捉え方が現場では役立ちます。基礎をやさしくまとめました。",https://edu-ai-platform-delta.vercel.app/articles/kyoiku-dx-kiso,#教育DX #ICT活用,draft
Q15,2026-07-22,X,article_intro,特別支援教育,"個別の教育支援計画、書き方に迷うことはありませんか。目標と手立てを具体的に、あとで見返せる形にしておくと支援がつながります。書き方の手順と例をまとめました。引き継ぎにも使えます。",https://edu-ai-platform-delta.vercel.app/articles/individual-education-plan-writing-guide,#特別支援教育 #個別の教育支援計画,draft
Q16,2026-07-23,X,funnel,教材・支援ツール,"生成AIを学校で使う前の「確認したいチェックリスト」を無料で配布しています。1枚で要点を確認できる形にしました。導入を検討中の先生や情報担当の方にどうぞ。関連記事も合わせて置いています。",https://edu-ai-platform-delta.vercel.app/articles/school-generative-ai-privacy-security,#生成AI #学校 #チェックリスト,draft
Q17,2026-07-24,X,tip,ICT活用,"情報モラル教育、何を扱えばいいか迷いますよね。SNS・個人情報・著作権あたりは学年に応じて繰り返し触れたいテーマです。授業で扱えるテーマ例をまとめました。指導の下準備にどうぞ。",https://edu-ai-platform-delta.vercel.app/articles/information-morals-education-themes,#情報モラル #ICT活用,draft
Q18,2026-07-25,X,article_intro,AI校務改善,"生成AIを学校で使うとき、個人情報とセキュリティは最初に確認したい点です。何を入力してよいか・校内ルールとの関係を整理しました。公式の考え方の読み方も添えています。導入前にぜひ。",https://edu-ai-platform-delta.vercel.app/articles/school-generative-ai-privacy-security,#生成AI #情報セキュリティ,draft
Q19,2026-07-27,X,article_intro,研修・セミナー,"ICTやAIの校内研修、担当になると準備が大変ですよね。外部に頼らず校内で回す進め方をまとめました。全員が同じ土台に立てると、その後の運用がぐっと楽になります。下準備の参考に。",https://edu-ai-platform-delta.vercel.app/articles/school-training-ict-ai-guide,#教員研修 #ICT活用,draft
Q20,2026-07-28,X,article_intro,特別支援教育,"保護者との連携は、こまめな共有の積み重ねが効いてきます。よいことも含めて伝えると信頼につながりやすいです。連携の進め方と伝え方の工夫をまとめました。日々のやり取りの参考に。",https://edu-ai-platform-delta.vercel.app/articles/special-needs-parent-collaboration,#特別支援教育 #保護者連携,draft
Q21,2026-07-29,X,tip,ICT活用,"GIGA端末、配っただけでは授業は変わりません。「この場面でこう使う」を1つ決めると定着します。授業での活かし方の具体例をまとめました。まず得意な教科で1つ試すのがおすすめです。",https://edu-ai-platform-delta.vercel.app/articles/giga-device-lesson-use-guide,#GIGAスクール #授業改善,draft
Q22,2026-07-30,X,article_intro,助成金・補助金,"2025年度の教育向け助成金・補助金の情報をまとめました。対象や時期は制度ごとに違うので、必ず公式の募集要項で確認を。まず「自校が対象になりそうか」を絞る材料として使ってください。",https://edu-ai-platform-delta.vercel.app/articles/joseikin-guide-2025,#助成金 #補助金,draft
Q23,2026-07-31,X,article_intro,AI校務改善,"校務改善、どこから手をつけるか迷いますよね。「時間がかかる割に定型的な作業」から見直すと効果を感じやすいです。生成AIを使った校務改善の入門5つをまとめました。1つ試すところから。",https://edu-ai-platform-delta.vercel.app/articles/ai-koomu-kaizen-nyumon,#校務改善 #生成AI,draft
Q24,2026-08-01,X,tip,教材・支援ツール,"ICT支援ツール、種類が多くて選ぶのが大変ですよね。「誰の何を楽にするか」を先に決めると比べやすくなります。選び方の観点をまとめました。多機能より、現場に合うかどうかを基準に。",https://edu-ai-platform-delta.vercel.app/articles/ict-teaching-tools-selection-guide,#ICT教材 #支援ツール,draft
